operation1,operation2,split,train_fold,run,bacc
equalize,median_blur,3,1,45332893,0.8222266435623169
equalize,median_blur,4,0,45332893,0.8415011167526245
equalize,median_blur,4,1,45332893,0.7767130136489868
equalize,random_crop,0,0,45331860,0.8266797065734863
equalize,random_crop,0,1,45331860,0.7994061708450317
equalize,random_crop,1,0,45331860,0.8033959865570068
equalize,random_crop,1,1,45331860,0.81060791015625
equalize,random_crop,2,0,45331860,0.8248215913772583
equalize,random_crop,2,1,45331860,0.8104362487792969
equalize,random_crop,3,0,45331860,0.8116903305053711
equalize,random_crop,3,1,45331860,0.8337059020996094
equalize,random_crop,4,0,45331860,0.8187708854675293
equalize,random_crop,4,1,45331860,0.8044136762619019
equalize,rotation,0,0,45329567,0.8406946659088135
equalize,rotation,0,1,45329567,0.8473893404006958
equalize,rotation,1,0,45329567,0.8275870084762573
equalize,rotation,1,1,45329567,0.8464969396591187
equalize,rotation,2,0,45329567,0.8454466462135315
equalize,rotation,2,1,45329567,0.8375327587127686
equalize,rotation,3,0,45329567,0.8262131810188293
equalize,rotation,3,1,45329567,0.8718000650405884
equalize,rotation,4,0,45329567,0.8378738164901733
equalize,rotation,4,1,45329567,0.8138054609298706
equalize,saturation,0,0,45328874,0.7822115421295166
equalize,saturation,0,1,45328874,0.782082200050354
equalize,saturation,1,0,45328874,0.7951254844665527
equalize,saturation,1,1,45328874,0.7983912229537964
equalize,saturation,2,0,45328874,0.8237838745117188
equalize,saturation,2,1,45328874,0.7899148464202881
equalize,saturation,3,0,45328874,0.8102611303329468
equalize,saturation,3,1,45328874,0.819711446762085
equalize,saturation,4,0,45328874,0.8058490753173828
equalize,saturation,4,1,45328874,0.7894103527069092
equalize,scaling,0,0,45327396,0.8394098281860352
equalize,scaling,0,0,45333006,0.8394098281860352
equalize,scaling,0,1,45327396,0.8301037549972534
equalize,scaling,0,1,45333006,0.8285746574401855
equalize,scaling,1,0,45327396,0.8096997737884521
equalize,scaling,1,0,45333006,0.8096997737884521
equalize,scaling,1,1,45327396,0.8505411148071289
equalize,scaling,1,1,45333006,0.8505411148071289
equalize,scaling,2,0,45327396,0.825082540512085
equalize,scaling,2,0,45333006,0.8297791481018066
equalize,scaling,2,1,45327396,0.8376325368881226
equalize,scaling,2,1,45333006,0.8361034393310547
equalize,scaling,3,0,45327396,0.8214236497879028
equalize,scaling,3,0,45333006,0.8229457139968872
equalize,scaling,3,1,45327396,0.8652958869934082
equalize,scaling,3,1,45333006,0.8637667894363403
equalize,scaling,4,0,45327396,0.845061182975769
equalize,scaling,4,0,45333006,0.845061182975769
equalize,scaling,4,1,45327396,0.8201307058334351
equalize,scaling,4,1,45333006,0.8186016082763672
