transform,train_fold,split,bacc,bacc_baseline,diff
horizontal_flip,0,3,0.4936482608318329,0.47595125436782837,0.017697006464004517
horizontal_flip,0,4,0.46864432096481323,0.4360010027885437,0.03264331817626953
horizontal_flip,1,0,0.45268481969833374,0.44320130348205566,0.009483516216278076
horizontal_flip,1,1,0.4900541305541992,0.4517035484313965,0.038350582122802734
horizontal_flip,1,2,0.4902109205722809,0.46259772777557373,0.027613192796707153
horizontal_flip,1,3,0.4641338586807251,0.441262423992157,0.022871434688568115
horizontal_flip,1,4,0.5090876221656799,0.48202264308929443,0.027064979076385498
median_blur,0,0,0.5004497170448303,0.4572561979293823,0.043193519115448
median_blur,0,1,0.4797731339931488,0.46093738079071045,0.018835753202438354
median_blur,0,2,0.5027382373809814,0.46584194898605347,0.03689628839492798
median_blur,0,3,0.4863370358943939,0.47595125436782837,0.010385781526565552
median_blur,0,4,0.4509865641593933,0.4360010027885437,0.01498556137084961
median_blur,1,0,0.46508461236953735,0.44320130348205566,0.02188330888748169
median_blur,1,1,0.5007041692733765,0.4517035484313965,0.04900062084197998
median_blur,1,2,0.459329217672348,0.46259772777557373,-0.003268510103225708
median_blur,1,3,0.46401336789131165,0.441262423992157,0.022750943899154663
median_blur,1,4,0.4930558204650879,0.48202264308929443,0.011033177375793457
random_crop,0,0,0.5285165309906006,0.4572561979293823,0.07126033306121826
random_crop,0,1,0.50001060962677,0.46093738079071045,0.03907322883605957
random_crop,0,2,0.5279982089996338,0.46584194898605347,0.06215626001358032
random_crop,0,3,0.5102593898773193,0.47595125436782837,0.03430813550949097
random_crop,0,4,0.46981409192085266,0.4360010027885437,0.03381308913230896
random_crop,1,0,0.48787015676498413,0.44320130348205566,0.04466885328292847
random_crop,1,1,0.5072450041770935,0.4517035484313965,0.05554145574569702
random_crop,1,2,0.5026100277900696,0.46259772777557373,0.04001230001449585
random_crop,1,3,0.48110198974609375,0.441262423992157,0.03983956575393677
random_crop,1,4,0.5205658078193665,0.48202264308929443,0.03854316473007202
rotation,0,0,0.5016489028930664,0.4572561979293823,0.04439270496368408
rotation,0,1,0.5102165937423706,0.46093738079071045,0.049279212951660156
rotation,0,2,0.5224375128746033,0.46584194898605347,0.056595563888549805
rotation,0,3,0.5032829642295837,0.47595125436782837,0.02733170986175537
rotation,0,4,0.4820099472999573,0.4360010027885437,0.046008944511413574
rotation,1,0,0.5101462602615356,0.44320130348205566,0.06694495677947998
rotation,1,1,0.5115557909011841,0.4517035484313965,0.0598522424697876
rotation,1,2,0.5177518725395203,0.46259772777557373,0.05515414476394653
rotation,1,3,0.5138753652572632,0.441262423992157,0.0726129412651062
rotation,1,4,0.5412664413452148,0.48202264308929443,0.05924379825592041
saturation,0,0,0.45567524433135986,0.4572561979293823,-0.001580953598022461
saturation,0,1,0.460978627204895,0.46093738079071045,4.124641418457031e-05
saturation,0,2,0.465498149394989,0.46584194898605347,-0.0003437995910644531
saturation,0,3,0.47695520520210266,0.47595125436782837,0.001003950834274292
saturation,0,4,0.436734139919281,0.4360010027885437,0.0007331371307373047
saturation,1,0,0.44211435317993164,0.44320130348205566,-0.0010869503021240234
saturation,1,1,0.45290571451187134,0.4517035484313965,0.0012021660804748535
saturation,1,2,0.4671427011489868,0.46259772777557373,0.004544973373413086
saturation,1,3,0.441262423992157,0.441262423992157,0.0
saturation,1,4,0.47859472036361694,0.48202264308929443,-0.0034279227256774902
scaling,0,0,0.5205711126327515,0.4572561979293823,0.06331491470336914
scaling,0,1,0.5233806371688843,0.46093738079071045,0.06244325637817383
scaling,0,2,0.5299288034439087,0.46584194898605347,0.06408685445785522
scaling,0,3,0.5066186785697937,0.47595125436782837,0.030667424201965332
scaling,0,4,0.48030710220336914,0.4360010027885437,0.04430609941482544
scaling,1,0,0.5025627017021179,0.44320130348205566,0.059361398220062256
scaling,1,1,0.506040096282959,0.4517035484313965,0.0543365478515625
scaling,1,2,0.5370872616767883,0.46259772777557373,0.0744895339012146
scaling,1,3,0.501919686794281,0.441262423992157,0.06065726280212402
scaling,1,4,0.5364881753921509,0.48202264308929443,0.054465532302856445
shear_x,0,0,0.5061841011047363,0.4572561979293823,0.048927903175354004
shear_x,0,1,0.48184359073638916,0.46093738079071045,0.02090620994567871
shear_x,0,2,0.4658345580101013,0.46584194898605347,-7.3909759521484375e-06
shear_x,0,3,0.468101441860199,0.47595125436782837,-0.007849812507629395
shear_x,0,4,0.44792458415031433,0.4360010027885437,0.01192358136177063
shear_x,1,0,0.48317524790763855,0.44320130348205566,0.039973944425582886
shear_x,1,1,0.48830869793891907,0.4517035484313965,0.03660514950752258
shear_x,1,2,0.5246959924697876,0.46259772777557373,0.06209826469421387
shear_x,1,3,0.4881231188774109,0.441262423992157,0.046860694885253906
shear_x,1,4,0.5077494382858276,0.48202264308929443,0.025726795196533203
shear_y,0,0,0.4947492182254791,0.4572561979293823,0.0374930202960968
shear_y,0,1,0.50742107629776,0.46093738079071045,0.04648369550704956
shear_y,0,2,0.4949834644794464,0.46584194898605347,0.029141515493392944
shear_y,0,3,0.4955812990665436,0.47595125436782837,0.01963004469871521
shear_y,0,4,0.4675515294075012,0.4360010027885437,0.03155052661895752
shear_y,1,0,0.48840203881263733,0.44320130348205566,0.045200735330581665
shear_y,1,1,0.4926019310951233,0.4517035484313965,0.04089838266372681
shear_y,1,2,0.5179085731506348,0.46259772777557373,0.055310845375061035
shear_y,1,3,0.4905461072921753,0.441262423992157,0.04928368330001831
shear_y,1,4,0.5250347852706909,0.48202264308929443,0.043012142181396484
translate_x,0,0,0.4996712803840637,0.4572561979293823,0.042415082454681396
translate_x,0,1,0.4846513271331787,0.46093738079071045,0.02371394634246826
translate_x,0,2,0.5146939754486084,0.46584194898605347,0.04885202646255493
translate_x,0,3,0.5143856406211853,0.47595125436782837,0.038434386253356934
translate_x,0,4,0.4891909956932068,0.4360010027885437,0.053189992904663086
